"Customer - Parent  Account","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"PETER SANDFORT LLC","96,859.00","73,579.44","23,279.56","24.03%","4.00","24,209.53","81"
"CENTRAL VA FLOORING","80,358.04","62,232.51","18,125.53","22.56%","2.86","28,116.88","116"
"THE WHITT GROUP, INC","48,855.31","39,212.79","9,642.52","19.74%","3.67","13,318.12","47"
"CARPETLAND USA-RKE SOUTH","45,603.79","36,413.49","9,190.30","20.15%","3.04","14,992.18","115"
"FARMVILLE FLOORING LLC","33,519.54","27,536.77","5,982.77","17.85%","2.85","11,741.10","39"
"CARPETLAND USA OF ROANOKE","29,824.40","24,272.54","5,551.86","18.62%","2.56","11,646.86","69"
"SPENCER HOME CENTER INC","21,794.61","17,840.88","3,953.73","18.14%","3.04","7,172.68","25"
"ELP PROP","20,696.45","16,801.72","3,894.73","18.82%","2.54","8,143.31","30"
"BLUE RIDGE FLOORS INC","17,592.64","13,008.55","4,584.09","26.06%","3.60","4,892.84","39"
"J W SQUIRE CO","14,255.79","11,154.85","3,100.94","21.75%","2.90","4,921.38","33"
"THE FLOOR SHOW INC","13,261.39","10,281.16","2,980.23","22.47%","3.53","3,755.38","30"
"FLOOR FASHIONS","10,774.50","8,462.22","2,312.28","21.46%","3.80","2,832.87","14"
"MILLS FLOOR COVERING LLC","9,621.52","7,782.12","1,839.40","19.12%","2.27","4,245.48","8"
"B & H FLOORS LLC","7,263.13","5,497.36","1,765.77","24.31%","3.05","2,384.60","22"
"CARPETLAND USA OF","6,652.43","5,501.41","1,151.02","17.30%","1.99","3,349.83","13"
"FASHION FLRS OF ROANOKE","5,882.27","4,599.48","1,282.79","21.81%","3.05","1,929.53","19"
"CARPETS BY WORLEY","586.80","462.00","124.80","21.27%","4.89","120.00","1"
"CAVALIER CARPETS INC","522.00","432.00","90.00","17.24%","1.74","300.00","2"
